week_start,store_id,predicted_total_on_till_hours
2022-01-09,660,
2021-12-26,2114,
2021-12-26,798,
2022-01-02,314,
2021-12-26,1860,
2021-11-14,5278,
2021-11-21,1579,
2021-11-28,108,
2022-02-06,369,
2021-11-28,1889,
2022-01-23,356,
2021-11-14,397,
2021-12-19,1147,
2021-12-26,1289,
2021-12-12,1312,
2022-01-30,785,
2021-11-14,848,
2022-01-09,1961,
2022-01-30,2642,
2021-12-26,3308,
2022-01-23,782,
2021-12-12,2097,
2022-01-09,7773,
2021-12-12,3036,
2021-12-19,4828,
2022-01-02,5359,
2022-01-09,2071,
2022-01-30,1630,
2021-12-05,176,
2022-01-30,1454,
2021-12-26,1740,
2021-11-21,955,
2022-01-02,779,
2022-02-06,244,
2022-02-06,4556,
2021-12-26,7472,
2022-02-06,8989,
2022-02-06,3308,
2022-02-06,440,
2022-01-16,115,
2022-01-23,296,
2022-01-02,1291,
2021-12-05,2723,
2021-11-21,2914,
2021-11-14,3120,
2022-01-09,3780,
2022-01-09,9182,
2021-11-28,1178,
2022-01-02,5297,
2021-11-28,7799,
2021-12-05,1888,
2021-12-19,3120,
2022-01-09,3528,
2021-11-28,8853,
2022-01-16,265,
2021-11-28,316,
2022-01-02,2169,
2021-11-28,2558,
2021-12-19,5359,
2022-01-09,2956,
2022-01-23,246,
2021-11-21,802,
2022-01-23,3557,
2022-01-16,4323,
2021-12-26,1029,
2021-12-26,1460,
2022-01-02,7265,
2022-01-16,4747,
2021-12-12,374,
2022-01-16,2286,
2021-12-05,9182,
2022-01-09,1782,
2021-12-26,1303,
2022-02-06,2516,
2021-12-12,125,
2021-11-14,2157,
2021-11-28,9865,
2022-02-06,2710,
2022-02-06,131,
2022-02-06,4310,
2021-12-05,38,
2022-01-02,38,
2021-11-14,880,
2021-12-05,1967,
2022-01-16,3735,
2022-01-09,4129,
2022-01-23,4255,
2021-12-12,4297,
2021-12-12,217,
2022-01-09,1917,
2022-01-30,6224,
2021-12-26,3036,
2022-01-16,3544,
2022-01-16,918,
2021-12-19,1805,
2021-11-14,1916,
2022-02-06,1918,
2022-01-16,2071,
2021-12-05,152,
2022-01-30,1180,
2022-02-06,101,
2021-11-14,1054,
2022-01-16,1289,
2021-12-26,1838,
2021-11-14,589,
2022-01-30,6499,
2022-01-30,7773,
2022-02-06,9153,
2021-12-05,2001,
2021-12-19,2095,
2022-01-30,5186,
2021-11-28,1003,
2021-12-19,320,
2022-01-30,8853,
2022-02-06,1643,
2022-01-09,1371,
2021-12-12,4514,
2022-01-30,4556,
2021-11-28,977,
2022-01-23,131,
2021-12-12,784,
2022-01-09,1837,
2021-11-28,3803,
2022-01-02,7498,
2022-01-30,8109,
2022-01-16,1998,
2021-12-05,2587,
2022-01-23,660,
2021-11-28,1145,
2022-01-23,2107,
2022-01-02,1379,
2021-12-19,1546,
2021-11-21,3780,
2021-12-05,125,
2021-12-19,132,
2022-01-16,387,
2021-12-19,1630,
2022-01-02,2503,
2021-11-21,7841,
2021-12-12,764,
2022-02-06,3285,
2022-02-06,819,
2021-11-14,110,
2021-11-14,135,
2022-01-16,291,
2022-01-02,804,
2021-11-21,1490,
2022-01-16,131,
2022-01-23,316,
2021-11-21,2169,
2021-11-14,1922,
2021-12-12,2587,
2021-11-21,3308,
2022-01-30,788,
2021-11-14,1216,
2021-12-12,1957,
2022-01-23,3803,
2022-01-16,4064,
2021-11-21,2956,
2022-02-06,4721,
2022-01-23,6224,
2022-01-16,1008,
2021-12-12,779,
2022-01-30,1380,
2022-01-30,1740,
2021-12-05,1920,
2022-01-30,2516,
2022-01-30,1213,
2022-02-06,778,
2021-12-26,1324,
2021-12-05,1995,
2022-01-02,3515,
2021-11-14,2057,
2022-01-16,998,
2022-01-16,420,
2022-01-30,3955,
2022-01-16,1339,
2021-11-28,1967,
2022-01-30,1969,
2021-11-14,1213,
2021-12-12,3858,
2022-02-06,2115,
2022-02-06,6266,
2022-02-06,880,
2021-12-26,134,
2022-01-02,819,
2022-01-30,1083,
2021-12-19,1312,
2022-01-02,1782,
2021-12-05,3832,
2022-01-16,4417,
2021-12-05,4899,
2021-12-19,778,
2021-11-14,2150,
2021-12-19,2017,
2022-01-02,2642,
2022-01-23,1269,
2022-01-09,2367,
2022-01-09,8840,
2021-11-21,2174,
2021-12-26,1942,
2022-01-02,2228,
2021-11-14,3188,
2021-12-26,1292,
2022-01-09,1461,
2022-01-02,2018,
2022-01-02,2639,
2021-12-12,3706,
2022-01-16,8785,
2022-01-16,948,
2022-02-06,2008,
2021-11-21,1008,
2021-12-12,988,
2021-12-19,2071,
2021-11-28,2419,
2021-11-14,125,
2022-02-06,256,
2021-11-14,1231,
2021-12-26,1902,
2021-11-28,2574,
2022-01-02,2590,
2022-01-02,6525,
2021-11-28,7919,
2021-11-21,9946,
2021-11-28,152,
2022-01-09,534,
2021-12-12,1146,
2022-01-16,2147,
2021-12-12,4064,
2021-12-26,7317,
2021-12-05,84,
2021-12-26,125,
2022-01-16,314,
2021-11-21,440,
2022-01-09,2109,
2022-02-06,3670,
2022-01-02,1008,
2021-11-28,38,
2021-12-05,775,
2022-01-16,1957,
2021-11-21,2752,
2021-12-05,3311,
2021-12-05,1193,
2022-01-23,2419,
2021-11-28,2752,
2022-01-09,2914,
2021-11-21,6240,
2021-11-21,176,
2021-11-21,1274,
2021-11-14,108,
2021-12-05,1005,
2021-11-28,9182,
2021-12-12,3308,
2021-12-19,2671,
2022-01-30,8390,
2022-01-16,8840,
2021-11-21,1004,
2022-01-30,2202,
2021-11-21,787,
2021-12-26,534,
2022-01-16,2121,
2021-12-05,181,
2022-02-06,1355,
2022-01-02,1630,
2021-11-21,4226,
2021-11-21,124,
2021-11-14,152,
2021-12-12,1902,
2021-12-12,2574,
2022-01-30,396,
2022-01-02,440,
2021-12-12,1041,
2022-01-09,1146,
2021-11-14,1292,
2021-12-19,1861,
2021-12-26,977,
2021-12-19,2558,
2021-12-19,3146,
2021-12-19,4420,
2021-12-12,6525,
2022-02-06,9996,
2022-01-02,628,
2021-12-05,3104,
2021-12-26,3573,
2021-11-28,1740,
2021-12-05,2106,
2022-01-02,738,
2022-01-16,2171,
2022-01-30,1126,
2022-01-09,2001,
2021-12-26,1579,
2021-11-28,2097,
2021-12-12,4420,
2021-12-19,5298,
2021-12-19,125,
2021-11-21,1967,
2022-01-23,880,
2021-12-12,98,
2021-12-05,5349,
2022-01-23,2057,
2022-01-02,2108,
2021-12-26,1255,
2022-01-16,8125,
2022-02-06,1941,
2021-11-14,4899,
2022-01-30,100,
2021-11-28,291,
2021-12-05,784,
2021-11-14,3308,
2022-01-16,5297,
2021-12-26,4462,
2022-02-06,8879,
2022-01-23,38,
2021-12-05,453,
2022-01-02,1891,
2021-11-21,1995,
2021-12-12,2202,
2021-12-26,4828,
2021-12-05,576,
2022-01-23,1314,
2021-12-26,6800,
2021-12-12,5345,
2021-12-26,1920,
2021-12-05,1931,
2022-01-23,2516,
2021-11-28,398,
2021-11-21,1838,
2021-11-28,2122,
2022-02-06,955,
2022-02-06,1119,
2021-12-19,1936,
2021-12-19,9399,
2021-12-12,1996,
2022-01-23,2286,
2022-02-06,3939,
2022-01-02,4514,
2021-11-14,6800,
2021-12-26,764,
2021-12-05,2480,
2022-01-09,797,
2021-11-21,1461,
2021-12-26,1294,
