week_start,store_id,predicted_total_on_till_hours
2022-01-09,660,141.86038492860038
2021-12-26,2114,129.9790154631294
2021-12-26,798,92.59686761165902
2022-01-02,314,127.49852725860717
2021-12-26,1860,82.95763144913583
2021-11-14,5278,72.99238684495066
2021-11-21,1579,147.73124120335822
2021-11-28,108,125.82978587945205
2022-02-06,369,287.24322918774095
2021-11-28,1889,122.37304298276462
2022-01-23,356,73.5981431219304
2021-11-14,397,130.51096264873527
2021-12-19,1147,97.49707309729567
2021-12-26,1289,110.04241304114328
2021-12-12,1312,211.34145655894108
2022-01-30,785,91.51173133071576
2021-11-14,848,229.71804422325596
2022-01-09,1961,101.83633081303252
2022-01-30,2642,321.19847999126205
2021-12-26,3308,88.50951079212138
2022-01-23,782,21.513231232907145
2021-12-12,2097,61.44722585958067
2022-01-09,7773,123.02523548078345
2021-12-12,3036,115.13178200483414
2021-12-19,4828,248.83173162012594
2022-01-02,5359,107.15741757928559
2022-01-09,2071,136.66572007322534
2022-01-30,1630,154.09391136923156
2021-12-05,176,135.32067319957193
2022-01-30,1454,124.98190468927807
2021-12-26,1740,131.37489126969027
2021-11-21,955,107.23591425076076
2022-01-02,779,91.45153374765255
2022-02-06,244,222.1823452507205
2022-02-06,4556,136.57497554226688
2021-12-26,7472,47.53787084242981
2022-02-06,8989,163.93157804679396
2022-02-06,3308,88.50928030832871
2022-02-06,440,94.77131578169276
2022-01-16,115,188.3368132281215
2022-01-23,296,155.6181437620539
2022-01-02,1291,108.42480328258391
2021-12-05,2723,93.15275404700895
2021-11-21,2914,160.84014946735266
2021-11-14,3120,253.64276348781732
2022-01-09,3780,175.53383251862098
2022-01-09,9182,124.54355345484956
2021-11-28,1178,118.09632973241511
2022-01-02,5297,146.8669911996994
2021-11-28,7799,181.91797705398582
2021-12-05,1888,108.33617605544855
2021-12-19,3120,250.86795080592287
2022-01-09,3528,168.14920992331508
2021-11-28,8853,151.34193715622584
2022-01-16,265,102.62075772657123
2021-11-28,316,148.4049056239191
2022-01-02,2169,100.46798368523162
2021-11-28,2558,148.6692376021701
2021-12-19,5359,107.15608044414215
2022-01-09,2956,66.25262326694633
2022-01-23,246,186.95208096400575
2021-11-21,802,67.33459099443954
2022-01-23,3557,191.03437787433393
2022-01-16,4323,137.0937767671823
2021-12-26,1029,158.6303871056797
2021-12-26,1460,93.08018672172044
2022-01-02,7265,219.68406735731747
2022-01-16,4747,194.36291677172608
2021-12-12,374,150.02630993689715
2022-01-16,2286,160.6054422615209
2021-12-05,9182,124.49838538209599
2022-01-09,1782,117.67540433831536
2021-12-26,1303,123.36266231346895
